id,portals_id,portals_url
000116,8590026469,http://acervos.ims.com.br/portals/#/detailpage/8590026469
000117,8590026470,http://acervos.ims.com.br/portals/#/detailpage/8590026470
000118,8590026471,http://acervos.ims.com.br/portals/#/detailpage/8590026471
000119,8590026472,http://acervos.ims.com.br/portals/#/detailpage/8590026472
000120,8590026473,http://acervos.ims.com.br/portals/#/detailpage/8590026473
000121,8590026474,http://acervos.ims.com.br/portals/#/detailpage/8590026474
000122,8590026475,http://acervos.ims.com.br/portals/#/detailpage/8590026475
000123,8590026476,http://acervos.ims.com.br/portals/#/detailpage/8590026476
000124,8590026477,http://acervos.ims.com.br/portals/#/detailpage/8590026477
000125,8590026478,http://acervos.ims.com.br/portals/#/detailpage/8590026478
000126,8590026479,http://acervos.ims.com.br/portals/#/detailpage/8590026479
000127,8590026480,http://acervos.ims.com.br/portals/#/detailpage/8590026480
000128,8590022685,http://acervos.ims.com.br/portals/#/detailpage/8590022685
000129,8590026481,http://acervos.ims.com.br/portals/#/detailpage/8590026481
000130,8590026482,http://acervos.ims.com.br/portals/#/detailpage/8590026482
000131,8590026483,http://acervos.ims.com.br/portals/#/detailpage/8590026483
000132,8590026484,http://acervos.ims.com.br/portals/#/detailpage/8590026484
000133,8590026485,http://acervos.ims.com.br/portals/#/detailpage/8590026485
000134,8590026486,http://acervos.ims.com.br/portals/#/detailpage/8590026486
000135,8590026487,http://acervos.ims.com.br/portals/#/detailpage/8590026487
000136,8590026488,http://acervos.ims.com.br/portals/#/detailpage/8590026488
000137,8590026489,http://acervos.ims.com.br/portals/#/detailpage/8590026489
000138,8590026490,http://acervos.ims.com.br/portals/#/detailpage/8590026490
000139,8590026491,http://acervos.ims.com.br/portals/#/detailpage/8590026491
000140,8590026492,http://acervos.ims.com.br/portals/#/detailpage/8590026492
000141,8590026493,http://acervos.ims.com.br/portals/#/detailpage/8590026493
000142,8590026494,http://acervos.ims.com.br/portals/#/detailpage/8590026494
000143,8590026495,http://acervos.ims.com.br/portals/#/detailpage/8590026495
000144,8590026496,http://acervos.ims.com.br/portals/#/detailpage/8590026496
000145,8590026497,http://acervos.ims.com.br/portals/#/detailpage/8590026497
000146,8590026498,http://acervos.ims.com.br/portals/#/detailpage/8590026498
000147,8590026499,http://acervos.ims.com.br/portals/#/detailpage/8590026499
000148,8590026500,http://acervos.ims.com.br/portals/#/detailpage/8590026500
000149,8590026501,http://acervos.ims.com.br/portals/#/detailpage/8590026501
000150,8590026502,http://acervos.ims.com.br/portals/#/detailpage/8590026502
000151,8590026503,http://acervos.ims.com.br/portals/#/detailpage/8590026503
000152,8590026504,http://acervos.ims.com.br/portals/#/detailpage/8590026504
000153,8590026505,http://acervos.ims.com.br/portals/#/detailpage/8590026505
000154,8590026506,http://acervos.ims.com.br/portals/#/detailpage/8590026506
000155,8590026507,http://acervos.ims.com.br/portals/#/detailpage/8590026507
000156,8590026508,http://acervos.ims.com.br/portals/#/detailpage/8590026508
000157,8590026509,http://acervos.ims.com.br/portals/#/detailpage/8590026509
000158,8590026510,http://acervos.ims.com.br/portals/#/detailpage/8590026510
000159,8590026511,http://acervos.ims.com.br/portals/#/detailpage/8590026511
000160,8590026512,http://acervos.ims.com.br/portals/#/detailpage/8590026512
000161,8590026513,http://acervos.ims.com.br/portals/#/detailpage/8590026513
000162,8590026514,http://acervos.ims.com.br/portals/#/detailpage/8590026514
000163,8590026515,http://acervos.ims.com.br/portals/#/detailpage/8590026515
000164,8590026516,http://acervos.ims.com.br/portals/#/detailpage/8590026516
000165,8590026517,http://acervos.ims.com.br/portals/#/detailpage/8590026517
000166,8590026518,http://acervos.ims.com.br/portals/#/detailpage/8590026518
000167,8590026519,http://acervos.ims.com.br/portals/#/detailpage/8590026519
000168,8590026520,http://acervos.ims.com.br/portals/#/detailpage/8590026520
000169,8590026521,http://acervos.ims.com.br/portals/#/detailpage/8590026521
000171,8590022727,http://acervos.ims.com.br/portals/#/detailpage/8590022727
000172,8590022728,http://acervos.ims.com.br/portals/#/detailpage/8590022728
000173,8590022729,http://acervos.ims.com.br/portals/#/detailpage/8590022729
000174,8590022730,http://acervos.ims.com.br/portals/#/detailpage/8590022730
000175,8590022659,http://acervos.ims.com.br/portals/#/detailpage/8590022659
000176,8590022660,http://acervos.ims.com.br/portals/#/detailpage/8590022660
000177,8589938921,http://acervos.ims.com.br/portals/#/detailpage/8589938921
000178,8589938922,http://acervos.ims.com.br/portals/#/detailpage/8589938922
000179,8589938923,http://acervos.ims.com.br/portals/#/detailpage/8589938923
000180,8589938924,http://acervos.ims.com.br/portals/#/detailpage/8589938924
000181,8589938925,http://acervos.ims.com.br/portals/#/detailpage/8589938925
000182,8589938926,http://acervos.ims.com.br/portals/#/detailpage/8589938926
000183,8589938927,http://acervos.ims.com.br/portals/#/detailpage/8589938927
000184,8589938928,http://acervos.ims.com.br/portals/#/detailpage/8589938928
000185,8589938929,http://acervos.ims.com.br/portals/#/detailpage/8589938929
000186,8589938930,http://acervos.ims.com.br/portals/#/detailpage/8589938930
000187,8589938931,http://acervos.ims.com.br/portals/#/detailpage/8589938931
000188,8589938932,http://acervos.ims.com.br/portals/#/detailpage/8589938932
000189,8589938933,http://acervos.ims.com.br/portals/#/detailpage/8589938933
000190,8589938934,http://acervos.ims.com.br/portals/#/detailpage/8589938934
000191,8589938935,http://acervos.ims.com.br/portals/#/detailpage/8589938935
000192,8589938936,http://acervos.ims.com.br/portals/#/detailpage/8589938936
000193,8589938937,http://acervos.ims.com.br/portals/#/detailpage/8589938937
000194,8589938938,http://acervos.ims.com.br/portals/#/detailpage/8589938938
000195,8589938939,http://acervos.ims.com.br/portals/#/detailpage/8589938939
000196,8589938940,http://acervos.ims.com.br/portals/#/detailpage/8589938940
000197,8589938941,http://acervos.ims.com.br/portals/#/detailpage/8589938941
000198,8589938942,http://acervos.ims.com.br/portals/#/detailpage/8589938942
000199,8589938943,http://acervos.ims.com.br/portals/#/detailpage/8589938943
000200,8589938944,http://acervos.ims.com.br/portals/#/detailpage/8589938944
000201,8589938945,http://acervos.ims.com.br/portals/#/detailpage/8589938945
000202,8589938946,http://acervos.ims.com.br/portals/#/detailpage/8589938946
000203,8589938947,http://acervos.ims.com.br/portals/#/detailpage/8589938947
000204,8589938948,http://acervos.ims.com.br/portals/#/detailpage/8589938948
000205,8589938949,http://acervos.ims.com.br/portals/#/detailpage/8589938949
000206,8589938950,http://acervos.ims.com.br/portals/#/detailpage/8589938950
000207,8589938951,http://acervos.ims.com.br/portals/#/detailpage/8589938951
000208,8589938952,http://acervos.ims.com.br/portals/#/detailpage/8589938952
000209,8589938953,http://acervos.ims.com.br/portals/#/detailpage/8589938953
000210,8589938954,http://acervos.ims.com.br/portals/#/detailpage/8589938954
000211,8589938955,http://acervos.ims.com.br/portals/#/detailpage/8589938955
000212,8589938956,http://acervos.ims.com.br/portals/#/detailpage/8589938956
000213,8589938957,http://acervos.ims.com.br/portals/#/detailpage/8589938957
000214,8589938958,http://acervos.ims.com.br/portals/#/detailpage/8589938958
000215,8589938959,http://acervos.ims.com.br/portals/#/detailpage/8589938959
000216,8589938960,http://acervos.ims.com.br/portals/#/detailpage/8589938960
000217,8589938961,http://acervos.ims.com.br/portals/#/detailpage/8589938961
000218,8589938962,http://acervos.ims.com.br/portals/#/detailpage/8589938962
000219,8589938963,http://acervos.ims.com.br/portals/#/detailpage/8589938963
000220,8589938964,http://acervos.ims.com.br/portals/#/detailpage/8589938964
000221,8589938965,http://acervos.ims.com.br/portals/#/detailpage/8589938965
000222,8589938966,http://acervos.ims.com.br/portals/#/detailpage/8589938966
000223,8589938967,http://acervos.ims.com.br/portals/#/detailpage/8589938967
000224,8589938968,http://acervos.ims.com.br/portals/#/detailpage/8589938968
000225,8589938969,http://acervos.ims.com.br/portals/#/detailpage/8589938969
000226,8589938970,http://acervos.ims.com.br/portals/#/detailpage/8589938970
000227,8589938971,http://acervos.ims.com.br/portals/#/detailpage/8589938971
000228,8589938972,http://acervos.ims.com.br/portals/#/detailpage/8589938972
000229,8589938973,http://acervos.ims.com.br/portals/#/detailpage/8589938973
000230,8589938974,http://acervos.ims.com.br/portals/#/detailpage/8589938974
000231,8589938975,http://acervos.ims.com.br/portals/#/detailpage/8589938975
000232,8589938976,http://acervos.ims.com.br/portals/#/detailpage/8589938976
000233,8589938977,http://acervos.ims.com.br/portals/#/detailpage/8589938977
000234,8589938978,http://acervos.ims.com.br/portals/#/detailpage/8589938978
000235,8589938979,http://acervos.ims.com.br/portals/#/detailpage/8589938979
000236,8589938980,http://acervos.ims.com.br/portals/#/detailpage/8589938980
000237,8589938981,http://acervos.ims.com.br/portals/#/detailpage/8589938981
000238,8589938982,http://acervos.ims.com.br/portals/#/detailpage/8589938982
000239,8589938983,http://acervos.ims.com.br/portals/#/detailpage/8589938983
000240,8589938984,http://acervos.ims.com.br/portals/#/detailpage/8589938984
000241,8589938985,http://acervos.ims.com.br/portals/#/detailpage/8589938985
000242,8589938986,http://acervos.ims.com.br/portals/#/detailpage/8589938986
000243,8589938987,http://acervos.ims.com.br/portals/#/detailpage/8589938987
000244,8589938988,http://acervos.ims.com.br/portals/#/detailpage/8589938988
000245,8589938989,http://acervos.ims.com.br/portals/#/detailpage/8589938989
000246,8589938990,http://acervos.ims.com.br/portals/#/detailpage/8589938990
000247,8589938991,http://acervos.ims.com.br/portals/#/detailpage/8589938991
000248,8589938992,http://acervos.ims.com.br/portals/#/detailpage/8589938992
000249,8589938993,http://acervos.ims.com.br/portals/#/detailpage/8589938993
000250,8589938994,http://acervos.ims.com.br/portals/#/detailpage/8589938994
000251,8589938995,http://acervos.ims.com.br/portals/#/detailpage/8589938995
000252,8589938996,http://acervos.ims.com.br/portals/#/detailpage/8589938996
000253,8589938997,http://acervos.ims.com.br/portals/#/detailpage/8589938997
000254,8589938998,http://acervos.ims.com.br/portals/#/detailpage/8589938998
000255,8589938999,http://acervos.ims.com.br/portals/#/detailpage/8589938999
000256,8589939000,http://acervos.ims.com.br/portals/#/detailpage/8589939000
000257,8589939001,http://acervos.ims.com.br/portals/#/detailpage/8589939001
000258,8589939002,http://acervos.ims.com.br/portals/#/detailpage/8589939002
000259,8589939003,http://acervos.ims.com.br/portals/#/detailpage/8589939003
