Source ID,wikidata_id_url,wikidata_image,wikidata_ims_id,Depicts,Wikidata ID
001AMF013002,http://www.wikidata.org/entity/Q97772673,,,,Q97772673
001AMF013003,http://www.wikidata.org/entity/Q97772674,,,,Q97772674
001AMF013005,http://www.wikidata.org/entity/Q97772675,,,,Q97772675
001AMF013007,http://www.wikidata.org/entity/Q65620152,,,,Q65620152
001AMF013009,http://www.wikidata.org/entity/Q97772676,,,,Q97772676
001AMF013010,http://www.wikidata.org/entity/Q97772677,,,,Q97772677
001AMF015001,http://www.wikidata.org/entity/Q97772477,,,,Q97772477
001AMF015002,http://www.wikidata.org/entity/Q65621332,,,http://www.wikidata.org/entity/Q1532671 Glória,Q65621332
001AMF015006,http://www.wikidata.org/entity/Q65620153,,,,Q65620153
001AMF015008,http://www.wikidata.org/entity/Q97772478,,,,Q97772478
001AMF015015,http://www.wikidata.org/entity/Q65621333,,,,Q65621333
001AMF015016,http://www.wikidata.org/entity/Q65620366,,,,Q65620366
001AMF015020,http://www.wikidata.org/entity/Q97772479,,,,Q97772479
001AMF015022,http://www.wikidata.org/entity/Q65620154,,,,Q65620154
001AMF015024,http://www.wikidata.org/entity/Q97772480,,,,Q97772480
001AMF015025,http://www.wikidata.org/entity/Q65620367,,,,Q65620367
001AMF016001,http://www.wikidata.org/entity/Q65620368,,,http://www.wikidata.org/entity/Q1532671 Glória,Q65620368
001AMF016002,http://www.wikidata.org/entity/Q97772882,,,,Q97772882
001AMF016005,http://www.wikidata.org/entity/Q97772681,,,,Q97772681
001AMF016006,http://www.wikidata.org/entity/Q97772682,,,,Q97772682
001AMF016007,http://www.wikidata.org/entity/Q97772683,,,,Q97772683
001AMF016008,http://www.wikidata.org/entity/Q97772684,,,,Q97772684
001AMF016009,http://www.wikidata.org/entity/Q97772685,,,,Q97772685
001AMF016016,http://www.wikidata.org/entity/Q97772686,,,,Q97772686
001AMF016025,http://www.wikidata.org/entity/Q97772687,,,,Q97772687
001AMF016026,http://www.wikidata.org/entity/Q97772688,,,,Q97772688
001AMF016037,http://www.wikidata.org/entity/Q97772689,,,,Q97772689
001AMF016042,http://www.wikidata.org/entity/Q97772691,,,,Q97772691
001AN01001001,http://www.wikidata.org/entity/Q65620155,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Praia%20de%20Botafogo%2C%20tomada%20do%20Morro%20da%20Vi%C3%BAva%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620155
001AN01001002,http://www.wikidata.org/entity/Q65620156,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20praia%20de%20Botafogo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620156
001AN01001003,http://www.wikidata.org/entity/Q65620157,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Praia%20de%20Botafogo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620157
001AN01001004,http://www.wikidata.org/entity/Q97772883,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20para%20a%20Ba%C3%ADa%20de%20Guanabara%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772883
001AN01001005,http://www.wikidata.org/entity/Q65620159,,,,Q65620159
001AN01001006,http://www.wikidata.org/entity/Q97772884,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20do%20Pico%20do%20Corcovado%2C%20ainda%20com%20o%20mirante%20Chap%C3%A9u%20de%20Sol%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772884
001AN01001007,http://www.wikidata.org/entity/Q65620160,http://commons.wikimedia.org/wiki/Special:FilePath/Copacabana%2C%20com%20vista%20do%20P%C3%A3o%20de%20A%C3%A7%C3%BAcar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q202730 Copacabana,Q65620160
001AN01001008,http://www.wikidata.org/entity/Q65620161,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20de%20Ipanema%2C%20com%20vista%20do%20Morro%20Dois%20Irm%C3%A3os%20e%20da%20Pedra%20da%20G%C3%A1vea%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q468540 Ipanema,Q65620161
001AN01001011,http://www.wikidata.org/entity/Q65620162,http://commons.wikimedia.org/wiki/Special:FilePath/Rochas%20em%20Ipanema%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q468540 Ipanema,Q65620162
001AN01001026,http://www.wikidata.org/entity/Q97772885,http://commons.wikimedia.org/wiki/Special:FilePath/Pedra%20da%20G%C3%A1vea%20vista%20da%20Tijuca%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q97772885
001AN01001026t,http://www.wikidata.org/entity/Q97772933,,,,Q97772933
001AN01002001,http://www.wikidata.org/entity/Q65621334,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Praia%20de%20Botafogo%203%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65621334
001AN01002002,http://www.wikidata.org/entity/Q65621335,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Praia%20de%20Botafogo%208%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65621335
001AN01002003,http://www.wikidata.org/entity/Q65621336,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Praia%20de%20Botafogo%206%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65621336
001AN01002006,http://www.wikidata.org/entity/Q65620166,http://commons.wikimedia.org/wiki/Special:FilePath/Catete%20visto%20de%20Santa%20Teresa%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620166
001AN01002007,http://www.wikidata.org/entity/Q65620372,http://commons.wikimedia.org/wiki/Special:FilePath/Gl%C3%B3ria%2C%20Pal%C3%A1cio%20Monroe%20e%20Passeio%20P%C3%BAblico%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620372
001AN01002009,http://www.wikidata.org/entity/Q65620167,,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620167
001AN01002010,http://www.wikidata.org/entity/Q65620168,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20da%20Avenida%20Beira%20Mar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q1532671 Glória,Q65620168
001AN01002016,http://www.wikidata.org/entity/Q65620170,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20do%20bairro%20de%20Botafogo%2C%20com%20Copacabana%20ao%20fundo%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro),Q65620170
001AN01002019,http://www.wikidata.org/entity/Q65620171,http://commons.wikimedia.org/wiki/Special:FilePath/Enseada%20de%20Botafogo%2C%20vista%20do%20Morro%20da%20Vi%C3%BAva%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620171
001AN01002034,http://www.wikidata.org/entity/Q65620172,http://commons.wikimedia.org/wiki/Special:FilePath/Rochas%20na%20Avenida%20Niemeyer%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2540325 São Conrado,Q65620172
001AN01002039,http://www.wikidata.org/entity/Q65620173,http://commons.wikimedia.org/wiki/Special:FilePath/Largo%20e%20Rua%201%C2%BA%20de%20Mar%C3%A7o%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620173
