,id,omeka_url
250,0071824cx001-09,https://v3.imaginerio.org/api/items/264
251,0071824cx001-10,https://v3.imaginerio.org/api/items/265
252,0071824cx001-11,https://v3.imaginerio.org/api/items/266
253,0071824cx001-13,https://v3.imaginerio.org/api/items/267
254,0071824cx001-14,https://v3.imaginerio.org/api/items/268
255,0071824cx001-15,https://v3.imaginerio.org/api/items/269
256,0071824cx003a-04,https://v3.imaginerio.org/api/items/270
257,0071824cx003a-05,https://v3.imaginerio.org/api/items/271
258,0071824cx003a-06,https://v3.imaginerio.org/api/items/272
259,0071824cx003a-09,https://v3.imaginerio.org/api/items/273
260,0071824cx004-01,https://v3.imaginerio.org/api/items/274
261,0071824cx004-02,https://v3.imaginerio.org/api/items/275
262,0071824cx006-01,https://v3.imaginerio.org/api/items/276
263,0071824cx006-02,https://v3.imaginerio.org/api/items/277
264,0071824cx006-03,https://v3.imaginerio.org/api/items/278
265,0071824cx006-04,https://v3.imaginerio.org/api/items/279
266,0071824cx006-12,https://v3.imaginerio.org/api/items/280
267,0071824cx006-13,https://v3.imaginerio.org/api/items/281
268,0071824cx006-15,https://v3.imaginerio.org/api/items/282
269,0071824cx007-01,https://v3.imaginerio.org/api/items/283
270,0071824cx007-02,https://v3.imaginerio.org/api/items/284
271,0071824cx007-03,https://v3.imaginerio.org/api/items/285
272,0071824cx007-04,https://v3.imaginerio.org/api/items/286
273,0071824cx010-10,https://v3.imaginerio.org/api/items/287
274,0071824cx011-02,https://v3.imaginerio.org/api/items/288
275,0071824cx011-03,https://v3.imaginerio.org/api/items/289
276,0071824cx011-04,https://v3.imaginerio.org/api/items/290
277,0071824cx011-05,https://v3.imaginerio.org/api/items/291
278,0071824cx011-06,https://v3.imaginerio.org/api/items/292
279,0071824cx015a-01,https://v3.imaginerio.org/api/items/293
280,0071824cx015a-02,https://v3.imaginerio.org/api/items/294
281,0071824cx015a-10,https://v3.imaginerio.org/api/items/295
282,0071824cx016-04,https://v3.imaginerio.org/api/items/296
283,0071824cx016-07,https://v3.imaginerio.org/api/items/297
284,0071824cx016-08,https://v3.imaginerio.org/api/items/298
