id,first_year,last_year,geometry
014AM012072,1925-01-01,1935-01-01,"POLYGON ((-43.17517217199997 -22.91124369400001, -43.1781588203396 -22.91356153871393, -43.17839108604077 -22.91328072965338, -43.17859235044708 -22.91298030284265, -43.17876067540351 -22.9126631516766, -43.17889444002843 -22.91233233060064, -43.17899235631667 -22.91199102569071, -43.17905348153522 -22.9116425239662, -43.17907710800526 -22.91129802901159, -43.17517217199997 -22.91124369400001))"
014AM012071,1910-01-01,1920-01-01,"POLYGON ((-43.17757699909142 -22.90487454410906, -43.17664669174596 -22.90836826438217, -43.17702293764875 -22.90843543698805, -43.17740451988517 -22.90846831535972, -43.17778776332229 -22.9084665828355, -43.17816897682385 -22.90843025610188, -43.17854448880915 -22.90835968503272, -43.1789106826234 -22.90825554931878, -43.17926403137844 -22.90811885191985, -43.17960113192781 -22.90795090940279, -43.1798845077119 -22.90777669780273, -43.17757699909142 -22.90487454410906))"
014AM012069,1915-01-01,1925-01-01,"POLYGON ((-43.18186220799998 -22.94912295800002, -43.18180033103827 -22.95271978817252, -43.18218349243475 -22.95270805295882, -43.18256355944133 -22.95266179041132, -43.18293687152181 -22.95258144609871, -43.18329983321397 -22.95246779384052, -43.1836489487659 -22.95232192825238, -43.18398085581089 -22.95214525420126, -43.18429235775637 -22.95193947327182, -43.18458045457438 -22.95170656737479, -43.18478814536721 -22.9515064470557, -43.18186220799998 -22.94912295800002))"
014AM012068,1915-01-01,1925-01-01,"POLYGON ((-43.18233114378342 -22.90632074974225, -43.17843931568208 -22.9066186627969, -43.17848975149728 -22.90696861289064, -43.17857718254858 -22.9073123241209, -43.17870076708917 -22.90764648630078, -43.17885931516405 -22.90796788118363, -43.17905130006095 -22.90827341345955, -43.1792748730061 -22.90856014056892, -43.17952788096325 -22.90882530104528, -43.17980788736502 -22.9090663411147, -43.18011219557697 -22.90928093929514, -43.18021853171641 -22.90934623108531, -43.18233114378342 -22.90632074974225))"
014AM012066,1910-01-01,1920-01-01,"POLYGON ((-43.18406344525995 -22.90275026697796, -43.18481531806264 -22.89922029157686, -43.1844360988681 -22.8991694022401, -43.18405329109893 -22.89915299768415, -43.18367058111212 -22.89917123588134, -43.18329165432329 -22.89922394120176, -43.18292015972522 -22.8993106061041, -43.18255967475687 -22.89943039602208, -43.18221367086054 -22.89958215739926, -43.18188548005857 -22.89976442879513, -43.18161126849954 -22.89995064850336, -43.18406344525995 -22.90275026697796))"
014AM012064,1905-01-01,1915-01-01,"POLYGON ((-43.1751474497448 -22.91166245283881, -43.17388176240013 -22.91506558414956, -43.17425000145548 -22.91516346830343, -43.174626884096 -22.91522763491995, -43.17500878046263 -22.91525746599136, -43.17539201239619 -22.91525267420544, -43.17577288887114 -22.91521330571337, -43.17614774155356 -22.91513973968511, -43.17651296013999 -22.91503268465665, -43.17686502713706 -22.91489317170434, -43.1771641901512 -22.91474299101239, -43.1751474497448 -22.91166245283881))"
014AM012063,1910-01-01,1920-01-01,"POLYGON ((-43.18050712571175 -22.90522631320044, -43.18361698710383 -22.90305051656882, -43.18337049269775 -22.90278020892279, -43.18309642398975 -22.90253345842002, -43.18279742040454 -22.9023126412681, -43.18247636144654 -22.90211988392548, -43.18213633897093 -22.90195704262753, -43.18178062741207 -22.90182568551473, -43.18141265225528 -22.90172707753489, -43.18103595705571 -22.9016621682645, -43.1809866192114 -22.90165625119205, -43.18050712571175 -22.90522631320044))"
014AM012062,1905-01-01,1915-01-01,"POLYGON ((-43.19025657015718 -22.96106687315846, -43.19851680374524 -22.95400539380257, -43.19772534782832 -22.95329389936209, -43.1968619758596 -22.95265726029142, -43.19593500204908 -22.95210160667626, -43.194953352673 -22.95163228873715, -43.19392648014689 -22.95125382534336, -43.1928642720476 -22.95096986052902, -43.19177695595845 -22.95078312842886, -43.19067500105114 -22.95069542697009, -43.18968980745858 -22.95070140210044, -43.19025657015718 -22.96106687315846))"
014AM012061,1921-01-01,1921-01-01,"POLYGON ((-43.17113463086142 -22.90464716517245, -43.1708847082516 -22.90823707259779, -43.1712679128178 -22.90824235098269, -43.17164983370412 -22.90821300484765, -43.17202679251523 -22.9081493168343, -43.17239515865828 -22.90805190034086, -43.17275138431799 -22.90792169361285, -43.17309203863368 -22.90775995070462, -43.17341384074839 -22.9075682293985, -43.1737136914119 -22.90734837619833, -43.17395992777145 -22.90713058607205, -43.17113463086142 -22.90464716517245))"
014AM012060,1926-01-01,1931-01-01,"POLYGON ((-43.17439050516268 -22.90442771383692, -43.17236807272192 -22.89717170994209, -43.17160576173318 -22.89738925125345, -43.17087026518463 -22.89767457353027, -43.17016866542414 -22.89802492938076, -43.16950771854891 -22.8984369451758, -43.1688937893671 -22.89890665352011, -43.16833279011939 -22.89942953143957, -43.16783012354988 -22.90000054391792, -43.16739063087405 -22.90061419236422, -43.1670185451453 -22.90126456754544, -43.16671745046907 -22.90194540647484, -43.1665075640163 -22.90258608053576, -43.17439050516268 -22.90442771383692))"
